score,episodes,duration,popularity,favorites,scored_by,Cluster,genres,type,rating
6.94,12.0,23.0,2129.000000000001,229.5,37650.25,0,Fantasy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,2.0,25.0,7640.0,29.0,2784.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.94,1.0,26.0,7800.0,19.0,2762.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.94,3.0,23.0,5920.0,46.0,5142.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.94,1.0,26.0,5963.0,40.0,5296.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.94,5.0,28.0,5971.0,79.0,4906.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.94,4.0,7.0,4325.0,67.0,14531.0,2,Boys Love,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,12.0,23.0,2807.0,71.0,30666.0,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,12.0,23.0,6546.0,36.0,3431.0,1,Slice of Life,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,12.0,24.0,1506.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.94,2.0,15.0,6642.0,87.0,4506.0,1,Fantasy,Rx - Hentai,Rx - Hentai
6.94,1.0,23.0,4934.0,92.0,7806.0,1,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.94,12.0,11.0,2860.0,170.0,29181.0,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,23.0,3255.0,103.0,22930.0,2,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,11.0,23.0,4689.0,79.0,7694.0,1,Slice of Life,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,30.0,2875.0,48.0,28908.0,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,12.0,25.0,2343.0,183.0,28107.0,0,Action,R+ - Mild Nudity,R+ - Mild Nudity
6.94,6.0,3.0,5879.0,11.0,5113.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,21.0,10.0,7779.0,20.0,3004.0,1,Adventure,PG - Children,PG - Children
6.94,12.0,23.0,2513.0,229.5,34721.0,0,Slice of Life,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,1.0,9719.0,4.0,1331.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,22.0,4600.0,22.0,11566.0,2,Action,R+ - Mild Nudity,R+ - Mild Nudity
6.94,12.0,25.0,4963.0,24.0,8448.0,1,Adventure,R+ - Mild Nudity,R+ - Mild Nudity
6.94,1.0,1.0,8107.0,2.0,3509.0,1,Comedy,G - All Ages,G - All Ages
6.94,24.0,23.0,3301.0,229.5,13640.0,2,unknown,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,2.0,3.0,5889.0,30.0,6124.0,1,Comedy,G - All Ages,G - All Ages
6.94,1.0,1.0,5153.0,35.0,10041.0,2,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
