score,genres,type,episodes,duration,rating,popularity,favorites,scored_by
7.3,Fantasy,PG-13 - Teens 13 or older,1.0,4.0,PG-13 - Teens 13 or older,9444,16.0,2385.0
7.3,Mystery,R - 17+ (violence & profanity),12.0,26.0,R - 17+ (violence & profanity),4927,88.0,6139.0
7.3,Action,R+ - Mild Nudity,1.0,1.0,R+ - Mild Nudity,3696,53.0,21466.0
7.3,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,9034,13.0,1481.0
7.3,Action,PG-13 - Teens 13 or older,28.5,7.0,PG-13 - Teens 13 or older,6808,23.0,4923.0
7.3,Drama,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,709,229.5,37650.25
7.3,Sports,PG-13 - Teens 13 or older,13.0,23.0,PG-13 - Teens 13 or older,1605,229.5,37650.25
7.3,Action,R - 17+ (violence & profanity),1.0,2.0,R - 17+ (violence & profanity),2884,229.5,37650.25
7.3,Action,PG-13 - Teens 13 or older,1.0,27.0,PG-13 - Teens 13 or older,3793,35.0,19777.0
7.3,Action,PG-13 - Teens 13 or older,3.0,25.0,PG-13 - Teens 13 or older,9188,4.0,1083.0
7.3,Drama,PG-13 - Teens 13 or older,1.0,23.0,PG-13 - Teens 13 or older,5378,3.0,9994.0
7.3,Avant Garde,R - 17+ (violence & profanity),6.0,28.0,R - 17+ (violence & profanity),6611,156.0,3089.0
7.3,Comedy,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,1271,229.5,37650.25
7.3,Action,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,2099,229.5,37650.25
7.3,Action,R+ - Mild Nudity,1.0,1.0,R+ - Mild Nudity,2111,229.5,37650.25
7.3,Comedy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,1561,229.5,37650.25
7.3,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,2657,30.0,37650.25
7.3,Mystery,R - 17+ (violence & profanity),1.0,24.0,R - 17+ (violence & profanity),3241,51.0,23730.0
7.3,Fantasy,G - All Ages,1.0,1.0,G - All Ages,6761,19.0,4549.0
7.3,Drama,PG-13 - Teens 13 or older,11.0,22.0,PG-13 - Teens 13 or older,3351,177.0,14452.0
7.3,Comedy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,498,229.5,37650.25
7.3,Slice of Life,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,11166,18.0,391.0
7.3,Action,G - All Ages,1.0,1.0,G - All Ages,7707,10.0,3354.0
7.3,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,6876,19.0,4365.0
7.3,Adventure,G - All Ages,23.0,20.0,G - All Ages,10267,4.0,1393.0
7.3,Action,PG-13 - Teens 13 or older,1.0,45.0,PG-13 - Teens 13 or older,4099,10.0,15762.0
7.3,Action,PG-13 - Teens 13 or older,13.0,25.0,PG-13 - Teens 13 or older,6786,43.0,3138.0
7.3,Romance,PG-13 - Teens 13 or older,13.0,16.0,PG-13 - Teens 13 or older,8383,39.0,1782.0
7.3,Action,PG-13 - Teens 13 or older,12.0,20.0,PG-13 - Teens 13 or older,4372,120.0,11217.0
7.3,Action,R - 17+ (violence & profanity),1.0,1.0,R - 17+ (violence & profanity),3744,113.0,22844.0
7.3,Action,PG-13 - Teens 13 or older,1.0,35.0,PG-13 - Teens 13 or older,3432,63.0,24131.0
7.3,Action,PG-13 - Teens 13 or older,13.0,23.0,PG-13 - Teens 13 or older,1524,213.0,37650.25
7.3,Fantasy,PG - Children,1.0,1.0,PG - Children,6880,8.0,5915.0
7.3,Adventure,G - All Ages,1.0,14.0,G - All Ages,4889,24.0,8718.0
7.3,Comedy,PG - Children,28.5,25.0,PG - Children,8350,34.0,3274.0
7.3,Comedy,PG-13 - Teens 13 or older,13.0,24.0,PG-13 - Teens 13 or older,1245,229.5,37650.25
7.3,Adventure,G - All Ages,28.5,21.0,G - All Ages,5029,137.0,9251.0
7.3,Action,PG-13 - Teens 13 or older,1.0,48.0,PG-13 - Teens 13 or older,3724,16.0,21355.0
7.3,Action,PG - Children,28.5,23.0,PG - Children,1607,229.5,37650.25
7.3,Comedy,PG-13 - Teens 13 or older,1.0,45.0,PG-13 - Teens 13 or older,3019,47.0,36479.0
7.3,Action,R - 17+ (violence & profanity),9.0,10.0,R - 17+ (violence & profanity),2402,229.5,37650.25
7.3,Comedy,R+ - Mild Nudity,1.0,43.0,R+ - Mild Nudity,5461,16.0,8707.0
7.29,Comedy,PG-13 - Teens 13 or older,2.0,13.0,PG-13 - Teens 13 or older,10576,2.0,912.0
7.29,Mystery,PG-13 - Teens 13 or older,10.0,23.0,PG-13 - Teens 13 or older,2119,229.5,34714.0
7.29,Slice of Life,PG-13 - Teens 13 or older,1.0,29.0,PG-13 - Teens 13 or older,6545,31.0,4239.0
7.29,Action,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,1459,229.5,37650.25
7.29,unknown,PG-13 - Teens 13 or older,1.0,4.0,PG-13 - Teens 13 or older,14664,3.0,552.0
7.29,Drama,PG-13 - Teens 13 or older,13.0,23.0,PG-13 - Teens 13 or older,4840,72.0,7310.0
7.29,unknown,PG-13 - Teens 13 or older,1.0,23.0,PG-13 - Teens 13 or older,7319,31.0,3923.0
7.29,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,4643,23.0,7174.0
7.29,Action,G - All Ages,28.5,24.0,G - All Ages,5405,131.0,7040.0
7.29,Comedy,PG-13 - Teens 13 or older,1.0,24.0,PG-13 - Teens 13 or older,4790,6.0,10895.0
7.29,Horror,PG-13 - Teens 13 or older,13.0,24.0,PG-13 - Teens 13 or older,1768,229.5,37650.25
7.29,Action,PG-13 - Teens 13 or older,28.5,15.0,PG-13 - Teens 13 or older,8268,31.0,2047.0
7.29,Comedy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,1410,229.5,37650.25
7.29,Award Winning,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,2427,229.5,37650.25
7.29,Action,R - 17+ (violence & profanity),1.0,30.0,R - 17+ (violence & profanity),994,229.5,37650.25
7.29,Drama,G - All Ages,1.0,16.0,G - All Ages,7089,8.0,3848.0
7.29,Action,PG-13 - Teens 13 or older,26.0,23.0,PG-13 - Teens 13 or older,2309,188.0,35735.0
7.29,Comedy,PG-13 - Teens 13 or older,2.0,26.0,PG-13 - Teens 13 or older,2907,91.0,36339.0
